Prefix of Website,Course Code,Course Name,Course Description,Prereq,Antireq,Coreq 
CS,CS138,Introduction to Data Abstraction and Implementation,"Software abstractions via elementary data structures and their implementation; encapsulation and modularity; class and interface definitions; object instantiation; recursion; elementary abstract data types, including sequences, stacks, queues, and trees; implementation using linked structures and arrays; vectors and strings; memory models; automatic vs. dynamic memory management. ",Prereq: CS 137,None,None
CS,CS145,Designing Functional Programs (Advanced Level),CS 145 is an advanced-level version of CS 135. ,ERROR!!!,"Antireq: CS 115, 135, 137, 138",None
CS,CS146,Elementary Algorithm Design and Data Abstraction (Advanced Level),CS 146 is an advanced-level version of CS 136. ,Prereq: CS 145 with a grade of at least 75%.," Antireq: CS 116, 136, 137, 138.",None
CS,CS200,Concepts for Advanced Computer Usage,"Important concepts underlying major personal computer application categories; methodologies for learning and evaluating software; operating system and hardware design from the user's point of view, with implications for maintaining a personal computer. Students are encouraged to use their own personal computer for assignments. Social media and the effect of technology on society are explored throughout the course. [Offered: W,S]",Prereq: Not open to Computer Science students,None,None
CS,CS230,Introduction to Computers and Computer Systems,"Basic computer architecture, organization, system services, and software. Typology of processors, memory, I/O devices and their performance. ","Prereq: One of CS 116, 136, 138, 146; Not open to Computer Science students."," Antireq: BME 292, CS 241, 251, SYDE 192",None
CS,CS231,Algorithmic Problem Solving,"The study of the steps required to solve real-world problems on a computer, including problem specification, choice of algorithmic paradigm, analysis, and implementation. Topics include exhaustive search, divide and conquer, greedy, and dynamic programming approaches. ","Prereq: One of CS 116, 136, 138, 146; Not open to Computer Science
students."," Antireq: BME 122, CS 341, ECE 250, MSCI 240, MTE 140, SYDE 223",None
CS,CS234,Data Types and Structures,"Top-down design of data structures. Using representation-independent data types. Introduction to commonly used data types, including lists, sets, mappings, and trees. Selection of data representation. ","Prereq: One of CS 116, 136, 138, 146; Not open to Computer Science students."," Antireq: BME 122, CS 240, ECE 250, MSCI 240, MTE 140, SYDE 223",None
CS,CS240,Data Structures and Data Management,"Introduction to widely used and effective methods of data organization, focusing on data structures, their algorithms, and the performance of these algorithms. Specific topics include priority queues, sorting, dictionaries, data structures for text processing. ","Prereq: (CS 245 or SE 212), (one of CS 241, 246, 247), (one of STAT 206, 230, 240); Computer Science and BMath (Data Science) students only."," Antireq: BME 122, CS 234, ECE 250, MSCI 240, MTE 140, SYDE 223",None
CS,CS240E,Data Structures and Data Management (Enriched),Enriched version of CS 240. ,"Prereq: (A grade of 85% or higher in one of CS 245 or SE 212), (a grade of
85% or higher in one of CS 246 or 241), (one of STAT 206, 230, or 240);
Computer Science students only."," Antireq: CS 234, ECE 250",None
CS,CS241,Foundations of Sequential Programs,"The relationship between high-level languages and the computer architecture that underlies their implementation, including basic machine architecture, assemblers, specification and translation of programming languages, linkers and loaders, block-structured languages, parameter passing mechanisms, and comparison of programming languages. ",Prereq: (CS 138 or 246) or (a grade of 85% or higher in one of CS 136 or 146); Computer Science and BMath (Data Science) students only.," Antireq: CS 230, ECE 351",None
CS,CS241E,Foundations of Sequential Programs (Enriched),Enriched version of CS 241. ,"Prereq: A grade of 85% or higher in one of CS 136, 146, or 138; Computer
Science students only."," Antireq: CS 230, GENE 344",None
CS,CS245,Logic and Computation,"Propositional and predicate logic. Soundness and completeness and theirimplications. Unprovability of formulae in certain systems. Undecidability of problems in computation, including the halting problem. Reasoning about programs. Correctness proofs for both recursive and iterative program constructions. ","Prereq: (One of CS 136, 138, 146), MATH 135; Honours Mathematics students only."," Antireq: PMATH 330, SE 212",None
CS,CS245E,Logic and Computation (Enriched),Enriched version of CS 245. ,Prereq: A grade of 85% or higher in one of CS 136 or 146; Honours Mathematics students only., Antireq: SYDE 322,None
CS,CS246,Object-Oriented Software Development,"Introduction to object-oriented programming and to tools and techniques for software development. Designing, coding, debugging, testing, and documenting medium-sized programs: reading specifications and designing software to implement them; selecting appropriate data structures and control structures; writing reusable code; reusing existing code; basic performance issues; debuggers; test suites. ",Prereq: CS 146 or a grade of 60% or higher in CS 136 or 138; Honours Mathematics students only.," Antireq: CS 247, MSCI 342, SYDE 322",None
CS,CS246E,Object-Oriented Software Development (Enriched),Enriched version of CS 246. ,Prereq: A grade of 85% or higher in one of CS 136 or 146; Honours Mathematics students only., Antireq: SYDE 322,None
CS,CS247,Software Engineering Principles,"Systematic methods for designing, coding, testing, and documenting medium-sized programs. Major topics include abstraction, modularity, software modeling, object-oriented programming and design, generic programming, testing and debugging. ",Prereq: CS 241; Software Engineering students only.," Antireq: CS 246, MSCI 342, SYDE 322",None
CS,CS251,Computer Organization and Design,Overview of computer organization and performance. Basics of digital logic design. Combinational and sequential elements. Data representation and manipulation. Basics of processor design. Pipelining. Memory hierarchies. Multiprocessors. ,"Prereq: One of CS 136, 138, 146; Computer Science and BMath (Data Science) students only."," Antireq: BME 292, ECE 222, ME 262, MTE 262, SYDE 192",None
CS,CS330,Management Information Systems,"An introduction to information systems and their strategic role in business. Topics include types of information systems, organizational requirements, systems development strategies, decision support systems, data and information management, and information systems management, control and implementation. [Offered: F,W,S]","Prereq: One of CS 106, 116, 136, 138, 146; Level at least 2B; Not open to
Computer Science students."," Antireq: AFM 241, BUS 415W, 486W, CS 480/490,
MSCI 441",None
CS,CS335,Computational Methods in Business and Finance,"An introduction to numerical methods for business and finance. Floating-point arithmetic, interpolation. Methods for portfolio optimization and contingent-claims valuation. Solution of nonlinear equations. Monte Carlo methods, lattice methods, simulation of hedging strategies. [Offered: F,W]","Prereq: (One of CS 116, 136, 138, 146); MATH 136 or 146, MATH 237 or 247, STAT 231 or 241; Not open to Computer Science students."," Antireq: AMATH 242/ CS 371, CS 370, MTE 204",None
CS,CS338,Computer Applications in Business: Databases,"A user-oriented approach to the management of large collections of data. Methods used for the storage, selection and presentation of data. Common database management systems. ","Prereq: One of CS 230, 231, 234, 246, 330; Not open to Computer Science students."," Antireq: CS 348, 448, ECE 456, MSCI 346",None
CS,CS341,Algorithms,"The study of efficient algorithms and effective algorithm design techniques. Program design with emphasis on pragmatic and mathematical aspects of program efficiency. Topics include divide and conquer algorithms, recurrences, greedy algorithms, dynamic programming, graph search and backtrack, problems without algorithms, NP-completeness and its implications. ",Prereq: CS 240 and (MATH 239 or 249); Computer Science and BMath (Data Science) students only.," Antireq: CS 231, ECE 406",None
CS,CS343,Concurrent and Parallel Programming,"An introduction to concurrent and parallel programming, with an emphasis on language constructs. Major topics include: exceptions, coroutines, atomic operations, critical sections, mutual exclusion, semaphores, high-level concurrency, deadlock, interprocess communication, process structuring, shared memory and distributed architectures. Students will learn how to structure, implement and debug concurrent programs. ",Prereq: CS 350 or SE 350; Computer Science students only., Antireq: MTE 241,None
CS,CS348,Introduction to Database Management,"The main objective of this course is to introduce students to fundamentals of database technology by studying databases from three viewpoints: those of the database user, the database designer, and the database administrator. It teaches the use of a database management system (DBMS) by treating it as a black box, focusing only on its functionality and its interfaces. Topics include: introduction to database systems, relational database systems, database design methodology, SQL and interfaces, database application development, concept of transactions, ODBC, JDBC, database tuning, database Administration, and current topics (distributed databases, data warehouses, data mining). ",Prereq: CS 240; Computer Science and BMath (Data Science) students only.," Antireq: CS 338, ECE 356, 456, MSCI 346",None
CS,CS349,User Interfaces,"An introduction to contemporary user interfaces, including the basics of human-computer interaction, the user interface design/evaluation process, the event abstraction, user interface components, specification of user interfaces, and the architectures within which user interfaces are developed. Implementation and evaluation of a typical user interface is considered. ","Prereq: CS 241 and (one of MATH 115, 136, 146); Computer Science students only",None,None
CS,CS350,Operating Systems,"An introduction to the fundamentals of operating system function, design, and implementation. Topics include concurrency, synchronization, processes, threads, scheduling, memory management, file systems, device management, and security. ","Prereq: CS 240, 241, 246, (CS 251 or ECE 222); Computer Science students only."," Antireq: ECE 254, MTE 241, SE 350",None
CS,CS360,Introduction to the Theory of Computing,Models of computers including finite automata and Turing machines. Basics of formal languages with applications to the syntax of programming languages. Alternate characterizations of language classes. Proving unrecognizability. Unsolvable problems and their relevance to the semantics of programming. ,"Prereq: CS 240, 241 and (MATH 239 or 249); Computer Science students only.", Antireq: CS 365,None
CS,CS365,Models of Computation,Finite automata and regular expressions. Pushdown automata and context-free grammars. Turing machines and undecidability. Time and space complexity. Diagonalization and hierarchies. CS 365 covers the material in CS 360 at an accelerated pace plus additional topics in computational complexity. ,"Prereq: CS 240, 241 and (MATH 239 or 249); Computer Science students only.", Antireq: CS 360,None
CS,CS370,Numerical Computation,"Principles and practices of basic numerical computation as a key aspect of scientific computation. Visualization of results. Approximation by splines, fast Fourier transforms, solution of linear and nonlinear equations, differential equations, floating point number systems, error, stability. Presented in the context of specific applications to image processing, analysis of data, scientific modeling. ","Prereq: (One of MATH 118, 119, 128, 138, 148), (one of MATH 106, 114, 115, 136, 146), (one of CS 231, 234, 241, 246)."," Antireq: AMATH 242/CS 371, CS 335, MTE 204",None
CS,CS371,Introduction to Computational Mathematics,"A rigorous introduction to the field of computational mathematics. The focus is on the interplay between continuous models and their solution via discrete processes. Topics include: pitfalls in computation, solution of linear systems, interpolation, discrete Fourier transforms and numerical integration. Applications are used as motivation. ","Prereq: (One of CS 116, 136, 138, 146), MATH 235 or 245, 237 or 247."," Antireq: CS 335, 370, MTE 204",None
CS,CS383,Computational Digital Art Studio,An upper-level studio course to create computational projects that function as art works and aesthetic experiences. Students will work in interdisciplinary teams to combine computer science principles with fine art technical and conceptual skills. [Offered: W],"Prereq: CS 240, FINE 229, 257",None,None
CS,CS398,Topics in Computer Science,See the Course Offerings List for topics available.,Prereq: CS 240 and (CS 246 or 247); Computer Science students only,None,None
CS,CS399,Readings in Computer Science,Reading course as announced by the department.,Prereq: CS 240 and (CS 246 or 247); Computer Science students only,None,None
CS,CS430,Applications Software Engineering,"An investigation into the role and function of software engineering practice in the construction of computer based systems. Topics include: requirements and specification; documentation techniques; analysis and design; implementation; testing and maintenance; management issues. [Offered: F,W]",Prereq: CS 330; Level at least 3A; Not open to Computer Science students.," Antireq: CS 446/ECE 452, SE 464",None
CS,CS431,Data-Intensive Distributed Analytics,"Introduces non-CS major students to infrastructure for data-intensive analytics, with a focus on abstractions, frameworks, and algorithms that allow developers to distribute computation across many machines. Topics include core concepts (partitioning, replication, locality, consistency), computational models (MapReduce, dataflows, stream processing, bulk-synchronous parallel), and applications. [Offered: W,S]",Prereq: (CS 231 or 234 or 341) and (CS 251 or 330); Not open to Computer Science students., Antireq: CS 451,None
CS,CS432,Business Systems Analysis,"Survey of organization and management theory. Systems theory and the systems approach. Systems design. Database concepts. Implementation and evaluation of computer based information systems. [Offered: F,S]",Prereq: CS 330; Level at least 3A; Not open to Computer Science students.," Antireq: AFM 341, CS 445/ECE 451, MSCI 444, SE 463",None
CS,CS436,Networks and Distributed Computer Systems,"An introduction to networks, protocols, and distributed systems. Layered models, resource management, naming, addressing and routing, reliable communication, security, and higher-level services. ","Prereq: One of CS 230, 241, 246, 251; Not open to Computer Science students."," Antireq: CS 454, 456, ECE 428, 454",None
CS,CS442,Principles of Programming Languages,"An exposure to important concepts and issues in contemporary programming languages. Data types, abstraction, and polymorphism. Program structure. Lambda calculus and functional programming, logic programming, object-oriented programming. Semantics of programming languages. Critical comparison of language features and programming methodologies using examples drawn from a variety of programming languages including Lisp, Prolog, ML, Ada, Smalltalk, Icon, APL, and Lucid. Programming assignments involve the use of some of these languages. ",Prereq: CS 240; Computer Science students only,None,None
CS,CS444,Compiler Construction,"Phases of compilation. Lexical analysis and a review of parsing. Compiler-compilers and translator writing systems. LEX and YACC. Scope rules, block structure, and symbol tables. Runtime stack management. Parameter passage mechanisms. Stack storage organization and templates. Heap storage management. Intermediate code. Code generation. Macros. ",Prereq: CS 350 or SE 350; Computer Science students only,None,None
CS,CS445,Software Requirements Specification and Analysis,"Introduces students to the requirements definition phase of software development. Models, notations, and processes for software requirements identification, representation, analysis, and validation. Cost estimation from early documents and specifications. ",Prereq: CS 350; Computer Science students only., Antireq: SE 463,None
CS,CS446,Software Design and Architectures,"Introduces students to the design, implementation, and evolution phases of software development. Software design processes, methods, and notation. Implementation of designs. Evolution of designs and implementations. Management of design activities. ",Prereq: CS 350; Computer Science students only.," Antireq: CS 430, SE 464",None
CS,CS447,"Software Testing, Quality Assurance and Maintenance","Introduces students to systematic testing of software systems. Software verification, reviews, metrics, quality assurance, and prediction of software reliability and availability. Related management issues. ",Prereq: CS 350; Computer Science students only., Antireq: SE 465,None
CS,CS448,Database Systems Implementation,"The objective of this course is to introduce students to fundamentals of building a relational database management system. The course focuses on the database engine core technology by studying topics such as storage management (data layout, disk-based data structures), indexing, query processing algorithms, query optimization, transactional concurrency control, logging and recovery. ",Prereq: CS 348 and (CS 350 or SE 350); Computer Science students only,None,None
CS,CS449,Human-Computer Interaction,"An introduction to the fundamental theories, methods, and research in the design and evaluation of novel computational artifacts designed to meet real-world human needs. ","Prereq: CS 240, 241; Level at least 3B; Computer Science students only.", Antireq: SYDE 348,None
CS,CS450,Computer Architecture,"The course is intended to provide the student with an appreciation of modern computer design and its relation to system architecture, compiler technology and operating system functionality. The course places an emphasis on design based on the measurement of performance and its dependency on parallelism, efficiency, latency and resource utilization. ",Prereq: (CS 245 or SE 212) and (CS 350 or SE 350); Computer Science students only., Antireq: ECE 429,None
CS,CS451,Data-Intensive Distributed Computing,"Introduces students to infrastructure for data-intensive computing, with a focus on abstractions, frameworks, and algorithms that allow developers to distribute computations across many machines.  Topics include core concepts (partitioning, replication, locality, consistency), computational models (MapReduce, dataflows, stream processing, bulk-synchronous parallel), and applications. [Offered: W,S]","Prereq: CS 341, 348 and (CS 350 or SE 350); Computer Science and BMath (Data Science) students only",None,None
CS,CS452,Real-time Programming,"Intended to give students experience with tools and techniques of real-time programming, this course includes not only issues of microcomputer architecture and a real-time programming language and operating system, but also hands-on experience programming a microcomputer for applications such as process control, data acquisition and communication. ",Prereq: CS 350 or SE 350; Computer Science students only,None,None
CS,CS454,Distributed Systems,"An introduction to distributed systems, emphasizing the multiple levels of software in such systems. Specific topics include fundamentals of data communications, network architecture and protocols, local-area networks, concurrency control in distributed systems, recovery in distributed systems, and clock synchronization. ",Prereq: CS 350 or SE 350; Computer Science students only., Antireq: ECE 454,None
CS,CS456,Computer Networks,"An introduction to network architectures and protocols, placing emphasis on protocols used in the Internet. Specific topics include application layer protocols, network programming, transport protocols, routing, multicast, data link layer issues, multimedia networking, network security, and network management. [Offered: F,W,S]",Prereq: CS 350; Computer Science students only.," Antireq: CS 436, ECE 358, 428",None
CS,CS457,System Performance Evaluation,"Basic techniques of system performance evaluation. Specific topics include: performance modeling, discrete event simulation, verification and validation of simulation models, analysis of simulation output, analysis of single server queue and queueing networks, modeling of computer systems, networks, and other queueing or non-queueing systems. ","Prereq: (CS 246 or 247) and (one of STAT 206, 231, 241); Computer Science students only",None,None
CS,CS458,Computer Security and Privacy,"Security and privacy issues in various aspects of computing. Specific topics include: comparing security and privacy, program security, writing secure programs, controls against program threats, operating system security, formal security models, network security, Internet application security and privacy, privacy-enhancing technologies, database security and privacy, inference, data mining, security policies, physical security, economics of security, and legal and ethical issues. ",Prereq: CS 350 or SE 350. Computer Science students only., Antireq: ECE 458,None
CS,CS462,Formal Languages and Parsing,"Languages and their representations. Grammars --Chomsky hierarchy. Regular sets and sequential machines. Context-free grammars -- normal forms, basic properties. Pushdown automata and transducers. Operations on languages. Undecidable problems in language theory. Applications to the design of programming languages and compiler construction.",Prereq: CS 360 or 365; Computer Science students only,None,None
CS,CS466,Algorithm Design and Analysis,"Algorithmic approaches and methods of assessment that reflect a broad spectrum of criteria, including randomized algorithms, amortized analysis, lower bounds, approximation algorithms, and on-line algorithms. Particular examples will be chosen from different areas of active research and application. [Offered: F,S]",Prereq: CS 341; Computer Science students only,None,None
CS,CS467,Introduction to Quantum Information Processing,Basics of computational complexity; basics of quantum information; quantum phenomena; quantum circuits and universality; relationship between quantum and classical complexity classes; simple quantum algorithms; quantum Fourier transform; Shor factoring algorithm; Grover search algorithm; physical realization of quantum computation; error-correction and fault-tolerance; quantum key distribution. [Offered: W],"Prereq: One of MATH 114, 115, 235, 245; Level at least 4A",None,None
CS,CS475,Computational Linear Algebra,"Basic concepts and implementation of numerical linear algebra techniques and their use in solving application problems. Special methods for solving linear systems having special features. Direct methods: symmetric, positive definite, band, general sparse structures, ordering methods.
Iterative methods: Jacobi, Gauss-Seidel, SOR, conjugate gradient. Computing and using orthogonal factorizations of matrices. QR and SVD methods for solving least squares problems. Eigenvalue and singular value decompositions. Computation and uses of these decompositions in practice. ",Prereq: AMATH 242/CS 371 or CS 370.," Antireq: CS 372, 472",None
CS,CS476,Numeric Computation for Financial Modeling,"The interaction of financial models, numerical methods, and computing environments. Basic computational aspects of option pricing and hedging. Numerical methods for stochastic differential equations, strong and weak convergence. Generating correlated random numbers. Time-stepping methods. Finite difference methods for the Black-Scholes equation. Discretization, stability, convergence. Methods for portfolio optimization, effect of data errors on portfolio weights. ",Prereq: (AMATH 242/CS 371 or CS 370) and STAT 231/241,None,None
CS,CS480,Introduction to Machine Learning,"Introduction to modeling and algorithmic techniques for machines to learn concepts from data. Generalization: underfitting, overfitting, cross-validation. Tasks: classification, regression, clustering. Optimization-based learning: loss minimization. regularization. Statistical learning: maximum likelihood, Bayesian learning. Algorithms: nearest neighbour, (generalized) linear regression, mixtures of Gaussians, Gaussian processes, kernel methods, support vector machines, deep learning, sequence learning, ensemble techniques. Large scale learning: distributed learning and stream learning. Applications: Natural language processing, computer vision, data mining, human computer interaction, information retrieval. ",Prereq: CS 341 and (STAT 206 or 231 or 241); Computer Science and BMath (Data Science) students only.,None,None
CS,CS482,Computational Techniques in Biological Sequence Analysis,"Computer science principles and algorithms in biological sequence analysis. Topics include algorithms for sequence comparison, for large-scale database search in biological databases, for sequence assembly, for evolutionary tree reconstruction, for identifying important features in DNA and RNA sequences, and underlying computational techniques for understanding strings and trees and for making probabilistic inferences. [Offered: W]","Prereq: CS 341, STAT 241 or at least 60% in STAT 231",None,None
CS,CS484,Computational Vision,"Introduction to image and vision understanding by computer. Camera-system geometry, image formation and lighting, and image acquisition. Basic visual processes for recognition of edges, regions, lines, and surfaces. Processing of stereo images, and motion in image sequences. Object recognition. Applications of computer-vision systems. ",Prereq: (AMATH 242/CS 371 or CS 370) and STAT 230 or 240; Computer Science students only,None,None
CS,CS485,Statistical and Computational Foundations of Machine Learning,"Extracting meaningful patterns from random samples of large data sets. Statistical analysis of the resulting problems. Common algorithmic paradigms for such tasks. Central concepts: VC-dimension, margins of a classifier, sparsity and description length, other types of regularization. Performance guarantees: generalization bounds, data dependent error bounds and computational complexity of learning algorithms. Common paradigms: neural networks, kernel methods and support-vector machines, boosting, nearest neighbor classifiers. Applications to data mining.",Prereq: CS 341 and (STAT 206 or 230 or 240); Computer Science and BMath (Data Science) students only,None,None
CS,CS486,Introduction to Artificial Intelligence,Goals and methods of artificial intelligence. Methods of general problem solving. Knowledge representation and reasoning. Planning. Reasoning about uncertainty. Machine learning. Multi-agent systems. Natural language processing. ,Prereq: CS 341 or SE 240; Computer Science and BMath (Data Science) students only.,None, Coreq: STAT 206 or 231 or 241.
CS,CS487,Introduction to Symbolic Computation,"An introduction to the use of computers for symbolic mathematical computation, involving traditional mathematical computations such as solving linear equations (exactly), analytic differentiation and integration of functions, and analytic solution of differential equations. ",Prereq: CS 231 or 234 or 240; Honours Mathematics only,None,None
CS,CS488,Introduction to Computer Graphics,"Software and hardware for interactive computer graphics. Implementation of device drivers, 3-D transformations, clipping, perspective, and input routines. Data structures, hidden surface removal, colour shading techniques, and some additional topics will be covered. ",Prereq: (CS 341 or SE 240) and (CS 350 or SE 350) and (CS 370 or 371); Computer Science students only,None,None
CS,CS489,Advanced Topics in Computer Science,See the Course Offerings List for topics available.,Prereq: Level at least 3B; Computer Science students only,None,None
CS,CS490,Information Systems Management,"The integration of business and technical considerations in the design, implementation and management of information systems. Topics include: IS planning and development; business, management, executive, and strategic information systems, including case studies of selected large- scale systems; decision support systems; end-user training and development; systems security, disaster planning and recovery. Practical examples of information systems in industry. [Offered: W,S]",Prereq: CS 350 or SE 350; Computer Science students only.," Antireq: BUS
415W, 486W",None
CS,CS492,The Social Implications of Computing,"This course is designed to consider the problems encountered by individuals, organizations and society as computer technology is adopted, with a view towards assessing possible courses of action. [Offered: W,S]",Prereq: CS 240; Computer Science students only,None,None
CS,CS493,Team Project 1,"Students work in teams on substantial open-ended computer science problems as part of the CS 493/494 course sequence. Lectures describe project management fundamentals and ethical and legal issues in computing. Students form teams, select projects, define project goals, perform risk assessment, establish a project plan, and develop a prototype. Possible project topics can include development of software systems, analysis of extensions to existing systems across the field, and experimental computer science.[Offered: F]","Prereq: CS 341, 350; Computer Science students only. Not open to Software Engineering students.",None,None
CS,CS494,Team Project 2,"Continuing from CS 493, student teams continue development of their project, update project plans, explore design alternatives, perform testing, and analyze experimental results. Teams prepare and deliver technical presentations and demonstrations of their projects, and analyze ethical and legal aspects of their work. [Offered: W]",Prereq: CS 493; Computer Science students only. Not open to Software Engineering students.,None,None
CS,CS497,Multidisciplinary Studies in Computer Science,See the Course Offerings list for topics available.,Prereq: Level at least 3B; Computer Science students only,None,None
CS,CS499R,Readings in Computer Science,Reading course as announced by the department.,Prereq: Level at least 3B; Computer Science students only,None,None
CS,CS499T,Honours Thesis,"The student will undertake new analysis, synthesis, measurement, or experimentation to produce a document that demonstrates a depth of understanding of a topic that goes beyond what is obtained in a standard undergraduate education. ",Prereq: Computer Science students only,None,None
DAC,DAC201,Designing Digital Images and Interaction,"This course draws on multiple theoretical perspectives to introduce students to the fundamental principles of multi-modal communication design in its social context. Students will analyze, design, and produce images and interactivity for use in a variety of digital platforms, including e-learning and business applications.",Prereq: Digital Arts Communication Minor students only., Antireq: GBDA 101,None
DAC,DAC202,Designing Digital Video,"This course introduces students to the principles of designing time-based multi-modal communication in a social context. Students will analyse, design, and produce video for use in a variety of digital platforms, including e-learning and business applications.",Prereq: Digital Arts Communication Minor students only.," Antireq: GBDA 201, 202.",None
DAC,DAC203,Designing with Digital Sound,"In this course, students will be introduced to sound analysis and production. Students will learn to record, edit, and implement sound in a variety of linear and non-linear media forms, with emphasis on film and video games.",Prereq: Digital Arts Communication Minor students only.," Antireq: DAC 203/301, FINE/GBDA 229",None
DAC,DAC204,Introduction to Game Design,"This course explores the fundamentals of game design. It focuses on the essentials shared by all games that are fundamental for a game designer working in any medium, from sports to board games to computer and video games. Although the focus of the course is on designing, prototyping, and testing non-digital games, digital games will be discussed in class to provide students with a broad theoretical and conceptual understanding of the field of game design and development along with practical exercises to train for creating a game.",Prereq: Digital Arts Communication Minor students only., Antireq: DAC 300/ENLG 303/SPCOM 300 taken Fall 2016,None
DAC,DAC300,Special Topics in Digital Design,"In this course students will learn advanced digital design theory. They will participate in workshops with professional designers, develop specialized digital materials and contribute signature work to their Digital Portfolio. ",Prereq: Digital Arts Communication Minor students only,None,None
DAC,DAC302,Digital Storytelling,"This course teaches students the principles and practices of telling stories using Machinima: 2D and 3D computer game engines used to design and produce short movies. Students will learn to develop and present story ideas, create storyboards, write short scripts, and then render their narratives using a variety of digital techniques and tools. ",Prereq: Digital Arts Communication Minor students only., Antireq: DAC 400/DAC 300/ENGL 403 taken in spring 2011,None
DAC,DAC305,Design and User Experience of Interactive Games,"This course introduces fundamental design skills for two-dimensional interactive video games and provides the theoretical knowledge of the emotional and cognitive effects of video game play. Students will understand the importance of user experience assessment for video games as part of iterative design and development. Students will learn to theorize, design, prototype, and test digital games with a special focus on exploring the impact that video games have on human experience.",Prereq: Digital Arts Communication Minor students only,None,None
DAC,DAC307,Digital Display Systems,"This course focuses on the creative, technical, and artistic challenges inherent to creating visual content (film, photos, graphics) for the increasingly ubiquitous out-of-home digital displays. The size, configuration, placement, and functions of these public digital displays require new artistic and technical techniques to fully exploit their capabilities. In the course, students will explore the design affordances of several types of public digital display as well as produce dynamic, interactive content for them.",Prereq: Digital Arts Communication Minor students only,None,None
DAC,DAC308,Cinematic Art and Practice,"This course explores cinematic representation from an audio-visual production perspective. Students will learn an explicit and replicable theoretical vocabulary for analyzing cinematic technique, as well as engage in practice by creating videographic ""essays"" that analyze, interrogate, and extend forms of cinematic representation. Students will engage in production workshops and have access to video and audio editing software. ",Prereq: Digital Arts Communication Minor students only,None,None
DAC,DAC309,User Experience Design,"This course introduces students to the theory and practice of user experience design as it applies to the design of interactive digital media. Topics will include user-centred design, personas, iterative testing, prototyping, information gathering interviews, and contextual inquiry.",Prereq: Digital Arts Communication Minor students only., Antireq: DAC 300/ENGL 303 taken in Winter 2013 or Winter 2014; GBDA 210,None
DAC,DAC329,Digital Presentations,"In this course, students will be introduced to design and production of digital business presentations. They will develop specialized digital materials and contribute work to their Digital Portfolio.",Prereq: Digital Arts Communication Minor students only,None,None
DAC,DAC400,Digital Design Research Project,"Students work in small groups under the supervision of a faculty researcher on an ongoing, large-scale, digital design project. ",Prereq: Digital Arts Communication Minor students only,None,None
DAC,DAC401,The Digital Design Profession,"This course teaches students to prepare for one of their most pressing challenges upon graduation: to choose and then enter the digital design profession that fits best with their personal and career goals. Design thinking strategies and tools provide the framework for this exploration. Throughout the course, students will create a variety of career preparatory materials - such as a career and competency ePortfolio, a behaviour-based interview protocol, an ""odyssey plan"" - as they engage in workshops, group discussions, interviews, and professional reflections.",Prereq: Digital Arts Communication Minor students only., Antireq: DAC 400/ENGL 403 taken in Winter 2017,None
DAC,DAC403,Special Topics in Speech Communication and Technology,In this course students will learn advanced digital design theory as it applies to speech communication. They will develop specialized digital materials and contribute work to their Digital Portfolio.,Prereq: Digital Arts Communication Minor students only,None,None
DRAMA,DRAMA100,Introduction to Theatre,This course introduces students to the processes of text-based theatre creation and production. Students produce an existing play text by developing and implementing an original conceptual approach. Prior experience in theatre-making is not required. ,ERROR!!!,Antireq: DRAMA 101B,None
DRAMA,DRAMA102,Introduction to Performance,This workshop course introduces students to the creative processes of performance in a range of formal and informal settings. Emphasis is placed on the student's development as a performer. Prior performance experience is not required.,None,None,None
DRAMA,DRAMA200,Theatre and Performance in Context,"Students experience, analyze, and interpret a range of works of theatre and performance. Close attention is paid to the original circumstances in which these works were produced, the ways in which they have reflected and influenced the communities that produced them, and their relevance to current performance practice and research. ",ERROR!!!,Antireq: DRAMA 101A,None
DRAMA,DRAMA206,Production Participation 1,"Students work with faculty, staff, and visiting artists to explore and develop basic proficiency in specific areas of performance creation. Areas include research, conception, writing, direction, design, performance, production, stage management, production management, publicity, dramaturgy, critique, and documentation.",None,None,None
DRAMA,DRAMA207,Production Participation 2,"Students work with faculty, staff, and visiting artists to explore and develop basic proficiency in specific areas of performance creation. Areas include research, conception, writing, direction, design, performance, production, stage management, production management, publicity, dramaturgy, critique, and documentation.",None,None,None
DRAMA,DRAMA220,Performance Studies,"This workshop course in performance studies explores performance as a way of knowing. It investigates performance as artistic practice and as a means of understanding historical, social and cultural practices, including drama/theatre texts, poetry, narratives and texts of everyday life.",Prereq: Level at least 2A; Theatre and Performance majors and minors only,None,None
DRAMA,DRAMA221,Performing Text,"Students explore techniques to analyze, interpret, and perform texts.",Prereq: DRAMA 102/SPCOM 102,None,None
DRAMA,DRAMA222,Performing the Body,Students explore techniques to access and develop the body as a resource for performance.,Prereq: DRAMA 102/SPCOM 102,None,None
DRAMA,DRAMA243,Technical Production 1,"Students develop basic proficiency in the technical elements of live theatre and performance production, including carpentry, lighting, projection, sound, wardrobe, and properties. Students apply these concepts in a departmental production.",Prereq: DRAMA 100/101B,None,None
DRAMA,DRAMA244,Technical Production 2,"Students develop intermediate proficiency in the technical elements of live theatre and performance production, including carpentry, lighting, projection, sound, wardrobe, and properties. Students apply these concepts in a departmental production.","Prereq: DRAMA 100/101B, 243",None,None
DRAMA,DRAMA246,Design for Performance,Students explore historical and current perspectives on the principles of design for performance.,Prereq: Level at least 2A,None,None
